SAMN02673560,France: Paris
SAMN02928167,Sri Lanka
SAMN02947410,China: Sichuan
SAMN02947765,China: Sichuan
SAMN02947972,Denmark
SAMN02949511,Indonesia
SAMN02949512,Malaysia
SAMN02949513,Indonesia
SAMN02949514,Indonesia
SAMN02949515,Australia
SAMN02949516,Japan
SAMN02949517,Indonesia
SAMN02949518,Malaysia
SAMN02949520,Australia
SAMN02949521,China
SAMN02949523,China
SAMN02949524,China
SAMN02949526,China: Zhejiang
SAMN02949527,China: Fujian
SAMN02949529,China: Zhejiang
SAMN02949530,China: Sichuan
SAMN02949532,China: Guangxi
SAMN02949533,China: Sichuan
SAMN02949535,China: Yunnan
SAMN02949536,China: Sichuan
SAMN02949537,China: Yunnan
SAMN02949538,China: Zhengjiang
SAMN02949539,China: Guizhou
SAMN02949540,China: Yunnan
SAMN02949541,China: Yunnan
SAMN02949542,China: Yunnan
SAMN02949543,China: Yunnan
SAMN02949544,China: Hainan
SAMN02949545,China: Yunnan
SAMN02949546,China: Yunnan
SAMN02949547,China: Yunnan
SAMN02949548,China: Yunnan
SAMN02949549,China: Yunnan
SAMN02949554,China: Hainan
SAMN02949555,China: Guangdong
SAMN02949556,China: Hainan
SAMN02949557,China: Yunnan
SAMN02949558,China: Huhan
SAMN02949559,China: Sichuan
SAMN02949560,China: Yunnan
SAMN02949561,China: Sichuan
SAMN02949562,China: Sichuan
SAMN02949563,China: Sichuan
SAMN02949564,China: Zhejiang
SAMN02949565,China: Fujian
SAMN02949566,China: Zhejiang
SAMN02949567,China: Anhui
SAMN02949568,China
SAMN02949569,China: Guangdong
SAMN02949570,China: Yunnan
SAMN02949571,China: Zhejiang
SAMN02949572,China
SAMN02949573,China: Guizhou
SAMN02949574,China: Guizhou
SAMN02949575,China: Hunan
SAMN02949576,China
SAMN02949577,China: Jiangxi
SAMN02949579,China: Jiangxi
SAMN03259167,USA:Iowa
SAMN03610058,"Brazil: Acegua City, Rio Grande do Sul"
SAMN03780437,Japan: Okinawa
SAMN03780438,Japan: Okinawa
SAMN03783263,Brazil:Parana
SAMN03783264,Brazil:Parana
SAMN03853357,Brazil
SAMN03944914,Brazil: Salvador
SAMN03996887,Brazil: Salvador
SAMN03996952,Brazil: Salvador
SAMN03996955,Brazil: Salvador
SAMN03997006,Brazil: Salvador
SAMN03997015,Brazil: Salvador
SAMN03998754,Brazil: Salvador
SAMN03998756,Brazil: Salvador
SAMN03998757,Brazil: Salvador
SAMN04002971,Brazil: Salvador
SAMN04009303,Brazil
SAMN04009307,Brazil
SAMN04009327,Brazil
SAMN04009367,Guadeloupe
SAMN04090017,Slovenia: Eva
SAMN04090071,France
SAMN04090075,Guadeloupe
SAMN04102139,Indonesia
SAMN04102140,Brazil: Salvador
SAMN04102160,Brazil: Salvador
SAMN04102260,Brazil: Salvador
SAMN04116739,Brazil: Salvador
SAMN04116740,Colombia
SAMN04116742,Colombia
SAMN04145567,Brazil: Sao Paulo
SAMN04145570,Brazil: Sao Paulo
SAMN04145571,Denmark
SAMN04145899,France
SAMN04145914,French Polynesia
SAMN04145947,French Polynesia
SAMN04145962,Guadeloupe
SAMN04145963,Japan
SAMN04158468,Japan
SAMN04158538,Brazil: Salvador
SAMN04231379,France
SAMN04235587,France
SAMN04432834,Argentina: Buenos Aires
SAMN04555632,"Malaysia: Johor, Muar, Kem Seri Ledang"
SAMN05195242,Brazil
SAMN05195243,Brazil
SAMN06233881,Brazil:Sao Paulo
SAMN06290125,Argentina: Santa Fe
SAMN06298621,Brazil: Rio de Janeiro
SAMN06298624,Brazil: Rio de Janeiro
SAMN06434252,Brazil: Sao Paulo
SAMN06434273,Brazil: Fernando de Noronha
SAMN07313955,Thailand: Nan Province
SAMN07314877,Thailand: Nan Province
SAMN11289419,Sri Lanka: Karawanalla
SAMN11289420,Sri Lanka: Karawanalla
SAMN11289421,Sri Lanka: Awissawella
SAMN11774874,Uruguay: Paysandu
SAMN11774875,Uruguay: Artigas
SAMN11774876,Uruguay: Artigas
SAMN11774877,Uruguay: Artigas
SAMN12567456,Brazil: Parana
SAMN12567526,Brazil: Parana
SAMN12588099,Brazil:Parana
SAMN12871420,China:JiangXi
SAMN12871448,China:JiangXi